Date,Bitcoin,Ethereum,Cardano,Litecoin
11.12.2023,"38296,6122","2064,93","0,5111","67,4197"
10.12.2023,"40658,3461","2184,5586","0,5533","71,6947"
09.12.2023,"40564,4917","2171,6503","0,5376","70,8399"
08.12.2023,"41018,7489","2189,8811","0,5073","72,8198"
07.12.2023,"40105,7068","2183,1662","0,4228","68,6313"
06.12.2023,"40614,0162","2071,6184","0,411","67,2968"
05.12.2023,"40895,0042","2128,2602","0,3943","68,7879"
04.12.2023,"38725,1233","2068,7026","0,3754","67,1636"
03.12.2023,"36677,6262","2012,5276","0,3626","66,2869"
02.12.2023,"36263,2908","1989,4759","0,3654","66,3991"
01.12.2023,"35501,7124","1914,8029","0,3527","65,6744"
30.11.2023,"34620,2796","1884,4342","0,3452","63,7456"
29.11.2023,"34471,3833","1848,1414","0,3478","63,7675"
28.11.2023,"34364,5186","1862,0209","0,35","63,3659"
27.11.2023,"34011,3363","1850,6992","0,3452","63,224"
26.11.2023,"34272,2328","1887,2328","0,3549","64,0555"
25.11.2023,"34533,2563","1904,8398","0,3608","65,6028"
24.11.2023,"34465,8087","1900,931","0,353","64,6033"
23.11.2023,"34191,5636","1890,6633","0,3543","63,7333"
22.11.2023,"34393,3138","1896,0049","0,3494","63,0895"
21.11.2023,"32951,5353","1780,1801","0,3298","61,0539"
20.11.2023,"34248,1981","1847,9251","0,3472","63,4898"
19.11.2023,"34304,8632","1846,5976","0,3524","64,7769"
18.11.2023,"33511,4163","1797,87","0,346","64,0113"
17.11.2023,"33475,4007","1793,6895","0,335","64,1957"
16.11.2023,"33377,7144","1808,607","0,3426","65,6314"
15.11.2023,"34950,3034","1899,6054","0,3492","68,2671"
14.11.2023,"32673,2914","1820,6687","0,3292","64,9847"
13.11.2023,"34143,4815","1925,105","0,3353","66,8918"
12.11.2023,"34663,2464","1913,0897","0,3585","70,1175"
11.11.2023,"34679,9015","1916,9892","0,3596","70,2168"
10.11.2023,"34889,0986","1943,3415","0,3613","68,4928"
09.11.2023,"34459,2442","1995,8137","0,345","68,9584"
08.11.2023,"33334,3002","1766,0718","0,3347","68,3423"
