Date,Bitcoin,Ethereum,Cardano,Polkadot
02.12.2023,"0,00921791120298352","0,0166146060260438","0,0153630833490293","0,00799358565386794"
01.12.2023,"0,0109187304487841","0,00694309904558776","0,00933467262431763","0,000743477477610165"
30.11.2023,"0,00187185946491003","0,00844578178991259","-0,00325879062352167","0,027815924464125"
29.11.2023,"0,00134844711914632","-0,00324935563101199","-0,00273846668358195","-0,00730877093291562"
28.11.2023,"0,00448656878564837","0,00264871412033066","0,0059972573071036","0,00684777555812642"
27.11.2023,"-0,00331870355215129","-0,00848963872520388","-0,0120352123044208","-0,014098028910401"
26.11.2023,"-0,00329513272866018","-0,0040329807469136","-0,00716052952231132","-0,0000891976593131263"
25.11.2023,"0,000849058746738186","0,00089210357479895","0,0094918234820816","0,00690426799468534"
24.11.2023,"0,00346951137437705","0,00235215901247452","-0,0015964469453547","0,0079192605765763"
23.11.2023,"-0,00255506037572108","-0,00122526126966553","0,0060482516862651","-0,00397768077644603"
22.11.2023,"0,0185983678237694","0,0273755134820083","0,0250722493384122","0,0239482188528744"
21.11.2023,"-0,016762072558815","-0,0162204225362963","-0,0223290651959544","-0,0323254613313398"
20.11.2023,"-0,000717964898563878","0,000312097662595368","-0,00645618323555598","-0,0134329955081177"
19.11.2023,"0,0101629088964461","0,0116139811179745","0,00795980094723369","0,0130833183837977"
18.11.2023,"0,000466998688699716","0,00101101980993849","0,0140312917559313","0,00486690340873223"
17.11.2023,"0,00126918996005292","-0,00359694154407434","-0,00974255159264643","-0,0132549115297749"
16.11.2023,"-0,019994355910962","-0,021319188084789","-0,0082868764040404","-0,0158730653421323"
15.11.2023,"0,0292580640858916","0,0184324693718565","0,0256144084932999","0,0295541692004604"
14.11.2023,"-0,0191149165574279","-0,0242234958814952","-0,0079737268885878","-0,0208911044740367"
13.11.2023,"-0,0065614316680512","0,00271908849967229","-0,0290556065749989","-0,0253161428081944"
12.11.2023,"-0,000208620992374525","-0,000884332652960119","-0,0013305230573722","0,0112707073521372"
11.11.2023,"-0,00261189379959689","-0,00592945897354862","-0,00204827850683111","0,0203684483983527"
10.11.2023,"0,00538400132790812","-0,0115708743420682","0,0200488664947481","0,0161313497675743"
09.11.2023,"0,0144144055241928","0,0531116435283725","0,0131633827154969","0,00407078302335046"
08.11.2023,"0,00254647703996804","0,000262194458264708","0,00798815325873419","0,0110394554085122"
07.11.2023,"0,00598982399713251","-0,00191380205652763","-0,0139163005460748","-0,00233173757314399"
06.11.2023,"0,000352304728390745","0,0019293778309093","0,0257054002349019","0,0173714169426829"
